Time_To_Goal,UAV_ID,
777,0,271.2634361
833,1,290.8643806
805,2,281.065434
926,3,323.4181371
780,4,272.3213019
746,5,260.4227951
1621,6,566.6907821
746,7,260.4340043
1261,8,440.6926362
796,9,277.9197709
1626,10,568.4378361
1330,11,464.8256645
785,12,274.0911609
1078,13,376.6369077
1241,14,433.6875438
1324,15,462.7721844
746,16,260.449542
1227,17,428.7751917
744,18,259.7610086
1228,19,429.1699212
275,20,95.55602028
897,21,313.2720665
274,22,95.20602029
1126,23,393.4962617
778,24,271.6436785
911,25,318.167218
736,26,256.937871
1238,27,432.6716055
